Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
104,Damon Jones,PG,30,CLE,11,139,7.0,.476,.846,.115,0.8,6.8,3.8,13.1,0.0,0.0,0.0,9.5,,0.2,0.1,0.3,.101,,-1.6,0.5,-1.1,0.0,jonesda01
105,Eddie Jones,SG,35,MIA,3,66,5.9,.430,.667,.667,1.8,9.6,5.5,11.4,0.8,1.2,7.9,9.1,,0.0,0.0,0.0,.021,,-2.7,-0.6,-3.3,0.0,jonesed02
106,James Jones,SF,26,PHO,11,171,11.6,.673,.500,.306,2.1,7.7,5.1,2.5,0.6,0.9,8.9,11.8,,0.3,0.1,0.4,.115,,0.9,0.9,1.8,0.2,jonesja02
107,Jason Kapono,SF,25,MIA,4,77,8.0,.559,.235,.118,0.0,8.2,4.0,4.4,1.4,0.0,5.3,11.6,,0.1,0.0,0.1,.047,,-2.0,-0.7,-2.7,0.0,kaponja01
108,Jason Kidd*,PG,33,NJN,12,484,22.0,.550,.547,.169,5.8,26.2,16.2,49.5,2.5,0.9,20.5,19.9,,1.0,1.1,2.1,.207,,5.0,3.6,8.6,1.3,kiddja01
109,Andrei Kirilenko,SF,25,UTA,17,527,14.8,.541,.073,.528,6.2,13.7,9.9,12.9,1.5,7.2,18.8,15.9,,0.5,0.7,1.1,.102,,0.4,2.7,3.1,0.7,kirilan01
110,Linas Kleiza,PF,22,DEN,5,66,0.5,.288,.462,.154,0.0,13.7,7.0,4.6,0.0,0.0,0.0,9.7,,-0.1,0.0,-0.1,-0.045,,-5.1,-1.1,-6.2,-0.1,kleizli01
111,John Lucas III,PG,24,HOU,2,8,-12.7,.000,1.000,.000,0.0,0.0,0.0,0.0,6.8,0.0,66.7,18.2,,-0.1,0.0,-0.1,-0.445,,-14.6,-0.1,-14.7,0.0,lucasjo02
112,Shawn Marion,SF,28,PHO,11,455,18.5,.558,.224,.217,7.3,21.1,14.5,4.4,1.8,3.2,6.7,17.7,,0.8,0.7,1.5,.158,,2.5,1.7,4.2,0.7,mariosh01
113,Donyell Marshall,PF,33,CLE,19,204,9.8,.454,.652,.159,6.9,16.8,11.8,4.5,0.8,1.7,6.3,18.6,,0.1,0.3,0.4,.092,,-1.3,0.1,-1.2,0.0,marshdo01
114,Darrick Martin,PG,35,TOR,2,8,13.7,.347,1.000,1.000,0.0,15.0,7.6,36.9,0.0,0.0,0.0,17.4,,0.0,0.0,0.0,.040,,-0.1,-2.6,-2.6,0.0,martida01
115,Roger Mason,SG,26,WAS,4,56,10.0,.644,.625,.375,0.0,4.4,2.0,3.0,1.0,0.0,13.9,18.3,,0.1,0.0,0.1,.043,,-1.8,-1.1,-2.9,0.0,masonro01
116,Jason Maxiell,C,23,DET,14,146,18.6,.649,.030,.697,8.9,18.1,13.5,2.6,1.5,5.0,14.0,16.5,,0.3,0.3,0.6,.187,,0.8,3.1,4.0,0.2,maxieja01
117,Antonio McDyess,PF,32,DET,16,354,11.9,.396,.019,.245,13.7,24.4,19.0,9.0,1.7,3.4,12.6,18.3,,-0.2,0.7,0.6,.078,,-2.7,0.3,-2.4,0.0,mcdyean01
118,Tracy McGrady*,SG,27,HOU,7,280,21.2,.478,.225,.356,2.1,14.6,8.5,46.2,1.0,1.5,10.2,35.7,,0.3,0.3,0.6,.102,,4.7,0.8,5.6,0.5,mcgratr01
119,C.J. Miles,SG,19,UTA,1,3,9.5,.568,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,,0.0,0.0,0.0,.089,,0.3,-2.8,-2.5,0.0,milescj01
120,Darko Miličić,PF,21,ORL,4,115,20.5,.591,.000,.500,10.5,8.2,9.3,6.4,0.5,2.9,4.6,18.2,,0.4,0.0,0.3,.140,,3.4,0.4,3.9,0.2,milicda01
121,Paul Millsap,PF,21,UTA,17,263,18.3,.552,.013,.300,16.9,16.6,16.7,5.1,2.2,3.3,12.6,17.7,,0.5,0.3,0.8,.153,,0.9,0.3,1.3,0.2,millspa01
122,Yao Ming*,C,26,HOU,7,260,19.9,.557,.000,.600,10.5,21.4,16.0,5.7,0.2,1.4,17.3,35.7,,0.2,0.3,0.5,.100,,0.2,-1.1,-0.8,0.1,mingya01
123,Nazr Mohammed,C,29,DET,2,6,44.1,.753,.000,1.500,19.7,40.0,29.8,0.0,0.0,0.0,0.0,26.7,,0.1,0.0,0.1,.684,,15.2,-0.5,14.8,0.0,mohamna01
124,Mikki Moore,C,31,NJN,12,399,13.0,.599,.000,.290,7.0,12.9,10.0,6.5,1.4,1.4,15.1,16.0,,0.5,0.6,1.1,.134,,-1.6,0.8,-0.8,0.1,mooremi01
