,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
190,Garrett Temple,SG,32,LAC,6,63,,30%,68%,2%,,3.1,15.7,0,1,3,1,4,3,5,0,0,templga01
191,Daniel Theis,C,26,BOS,7,42,,,,28%,72%,-4.4,-1.9,1,0,3,0,1,1,0,0,3,theisda01
192,Khyri Thomas,SG,22,DET,3,15,,32%,68%,,,23.8,52.3,0,0,0,0,1,0,0,1,0,thomakh01
193,Klay Thompson,SG,28,GSW,21,818,3%,75%,22%,,,0.9,-10.9,13,12,29,7,15,3,100,2,11,thompkl01
194,Sindarius Thornwell,SG,24,LAC,4,12,,,79%,21%,,8.7,18.4,0,0,1,0,0,0,0,0,1,thornsi01
195,P.J. Tucker,PF,33,HOU,11,426,,,,79%,21%,7.9,21.7,4,0,19,2,4,7,46,1,3,tuckepj01
196,Evan Turner,PG,30,POR,16,245,50%,50%,,,,-0.4,1.8,8,4,13,1,8,0,88,1,10,turneev01
197,Myles Turner,C,22,IND,4,126,,,,,100%,-5.4,2.6,1,1,7,1,7,1,16,1,0,turnemy01
198,Ekpe Udoh,C,31,UTA,2,6,,,,,100%,-58.8,-51.2,0,0,0,0,0,0,0,0,0,udohek01
199,Jarred Vanderbilt,PF,19,DEN,3,5,,,50%,50%,,25.0,22.8,0,0,0,0,0,0,0,0,0,vandeja01
200,Fred VanVleet,PG,24,TOR,24,592,100%,,,,,2.7,-5.9,14,3,20,3,10,6,143,1,11,vanvlfr01
201,Nikola Vučević,C,28,ORL,5,147,,,,,100%,-23.5,-21.3,5,4,5,4,5,1,39,0,4,vucevni01
