Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
351,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,moranja01
352,Marcus Morris,PF,34,PHI,37,7,17.2,2.4,5.5,.439,1.0,2.4,.400,1.5,3.1,.470,.527,0.8,1.0,.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,morrima03
353,Markieff Morris,PF,34,DAL,20,1,8.4,1.0,2.6,.365,0.6,1.6,.375,0.4,1.0,.350,.481,0.2,0.2,.750,0.2,1.3,1.5,0.6,0.3,0.1,0.5,0.6,2.7,morrima02
354,Monte Morris,PG,28,TOT,17,0,14.2,2.0,5.3,.378,0.6,2.1,.306,1.4,3.2,.426,.439,0.4,0.5,.667,0.3,1.4,1.7,2.4,0.5,0.2,0.2,0.4,5.0,morrimo01
354,Monte Morris,PG,28,DET,6,0,11.3,2.0,5.5,.364,0.3,1.8,.182,1.7,3.7,.455,.394,0.2,0.3,.500,0.3,1.7,2.0,1.3,0.2,0.2,0.3,0.2,4.5,morrimo01
354,Monte Morris,PG,28,MIN,11,0,15.7,2.0,5.2,.386,0.8,2.3,.360,1.2,2.9,.406,.465,0.5,0.6,.714,0.3,1.3,1.5,2.9,0.6,0.2,0.2,0.5,5.3,morrimo01
355,Trey Murphy III,SF,23,NOP,41,10,27.3,4.7,10.5,.443,2.9,7.7,.376,1.8,2.9,.624,.580,1.7,2.2,.769,0.6,3.6,4.2,1.9,0.8,0.5,0.5,1.2,13.9,murphtr02
356,Dejounte Murray,SG,27,ATL,63,63,35.4,8.5,18.3,.464,2.4,6.6,.364,6.1,11.7,.522,.530,2.9,3.6,.810,0.7,4.5,5.3,5.8,1.3,0.3,2.4,1.7,22.3,murrade01
357,Jamal Murray,PG,26,DEN,51,51,32.0,8.0,16.6,.479,2.4,5.7,.416,5.6,10.9,.512,.551,2.6,3.1,.841,0.7,3.4,4.1,6.6,0.9,0.6,2.1,1.8,20.9,murraja01
358,Keegan Murray,SF,23,SAC,60,60,33.0,5.6,12.1,.462,2.2,6.1,.359,3.4,6.0,.569,.553,1.4,1.7,.840,1.3,4.1,5.3,1.6,1.1,0.7,0.9,2.7,14.8,murrake02
359,Kris Murray,SF,23,POR,46,13,17.6,1.8,4.5,.402,0.6,2.3,.269,1.2,2.3,.533,.469,0.5,0.8,.639,1.0,1.9,2.8,1.1,0.8,0.3,0.8,1.2,4.8,murrakr01
360,Mike Muscala,C,32,TOT,41,6,12.9,1.2,3.5,.350,0.7,2.2,.304,0.5,1.2,.431,.448,0.4,0.6,.708,0.8,1.9,2.7,0.8,0.2,0.3,0.4,1.1,3.5,muscami01
360,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,.367,0.6,2.1,.275,0.8,1.6,.487,.444,0.6,0.8,.750,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0,muscami01
