,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
80,Brendan Haywood,C,30,DAL,6,139,.571,1.6,,1.000,.810,.190,.000,.000,.000,,.571,.647,.250,,,,,.500,,,.238,4,,,,,0,0,haywobr01
81,J.J. Hickson,PF,21,CLE,11,79,.636,5.3,,1.000,.591,.182,.091,.136,.000,,.636,.846,.250,.500,.333,,,.929,,,.136,3,,,,,0,0,hicksjj01
82,Nenê,C,27,DEN,5,169,.621,3.3,,1.000,.759,.069,.069,.103,.000,,.621,.773,.000,.500,.000,,,.778,,,.310,8,,,,,0,0,hilarne01
83,George Hill,PG,23,SAS,10,344,.451,14.4,,.716,.196,.118,.137,.265,.284,,.479,.550,.417,.429,.481,.379,,.429,1.000,,.010,1,,.931,.370,,0,0,hillge01
84,Grant Hill*,SF,37,PHO,16,452,.480,13.4,,.870,.154,.130,.317,.268,.130,,.523,.684,.438,.538,.455,.188,,.536,1.000,,.024,3,,.875,.214,,0,0,hillgr01
85,Kirk Hinrich,SG,29,CHI,5,196,.423,19.6,,.692,.019,.077,.038,.558,.308,,.389,.000,.000,.500,.448,.500,,.429,1.000,,.000,0,,.125,1.000,,0,0,hinriki01
86,Al Horford,C,23,ATL,11,388,.523,8.8,,.992,.320,.273,.117,.281,.008,,.520,.634,.400,.533,.500,1.000,,.606,1.000,,.070,8,,.000,,,0,0,horfoal01
87,Dwight Howard,C,24,ORL,14,497,.614,3.0,,1.000,.543,.436,.021,.000,.000,,.614,.697,.492,1.000,,,,.605,,,.264,36,,,,,0,0,howardw01
88,Juwan Howard,C,36,POR,6,87,.526,10.8,,1.000,.211,.211,.421,.158,.000,,.526,.750,.500,.500,.333,,,.500,,,.000,0,,,,,0,0,howarju01
89,Larry Hughes,SG,31,CHA,4,58,.471,20.4,,.412,.118,.059,.000,.235,.588,,.571,.500,1.000,,.500,.400,,.500,1.000,,.000,0,,.000,,,0,0,hughela01
90,Serge Ibaka,PF,20,OKC,6,153,.571,8.5,,1.000,.343,.229,.143,.286,.000,,.571,.750,.625,.600,.300,,,.650,,,.143,5,,,,,0,0,ibakase01
91,Zydrunas Ilgauskas,C,34,CLE,7,69,.385,12.7,,1.000,.308,.000,.077,.615,.000,,.385,.500,,.000,.375,,,.800,,,.000,0,,,,,0,0,ilgauzy01
92,D.J. Mbenga,C,29,LAL,3,12,.333,13.8,,1.000,.000,.000,.833,.167,.000,,.333,,,.200,1.000,,,1.000,,,.000,0,,,,,0,0,mbengdj01
93,Ersan İlyasova,PF,22,MIL,7,157,.480,11.3,,.720,.400,.120,.040,.160,.280,,.528,.550,.667,.500,.375,.357,,.632,1.000,,.000,0,,.214,.667,,0,0,ilyaser01
94,Royal Ivey,SG,28,MIL,3,11,.333,11.9,,.667,.500,.000,.167,.000,.333,,.500,.667,,.000,,.000,,.000,,,.000,0,,.500,.000,,0,0,iveyro01
95,Stephen Jackson,SG,31,CHA,4,156,.358,12.7,,.731,.388,.090,.030,.224,.269,,.429,.462,.167,.500,.467,.167,,.429,1.000,,.045,3,,.222,.000,,1,0,jacksst02
96,LeBron James,SF,25,CLE,11,460,.502,12.8,,.763,.351,.118,.038,.256,.237,,.534,.689,.440,.375,.389,.400,,.360,.350,,.062,13,,.100,.200,,0,0,jamesle01
97,Antawn Jamison,PF,33,CLE,11,375,.467,11.9,,.715,.343,.168,.073,.131,.285,,.551,.660,.522,.400,.389,.256,,.778,1.000,,.029,4,,.231,.222,,0,0,jamisan01
98,Othyus Jeffers,SG,24,UTA,6,10,.167,0.0,,1.000,1.000,.000,.000,.000,.000,,.167,.167,,,,,,1.000,,,.000,0,,,,,0,0,jeffeot01
99,Richard Jefferson,SF,29,SAS,10,334,.486,11.6,,.929,.329,.129,.100,.371,.071,,.508,.696,.444,.571,.346,.200,,.667,1.000,,.100,6,,.200,.000,,1,0,jefferi01
100,Brandon Jennings,PG,20,MIL,7,249,.408,13.6,,.658,.342,.117,.050,.150,.342,,.468,.488,.643,.333,.333,.293,,.135,.417,,.000,0,,.049,.000,,0,0,jennibr01
101,Anthony Johnson,PG,35,ORL,1,5,.500,12.1,,.500,.500,.000,.000,.000,.500,,1.000,1.000,,,,.000,,.000,,,.000,0,,1.000,.000,,0,0,johnsan02
102,James Johnson,PF,22,CHI,4,20,.000,13.5,,.500,.500,.000,.000,.000,.500,,.000,.000,,,,.000,,,,,.000,0,,.000,,,0,0,johnsja01
103,Joe Johnson,SG,28,ATL,11,440,.387,13.9,,.794,.166,.196,.126,.307,.206,,.430,.545,.410,.280,.443,.220,,.221,.667,,.015,3,,.244,.400,,1,0,johnsjo02
104,Dwayne Jones,PF,26,PHO,2,10,.500,0.0,,1.000,1.000,.000,.000,.000,.000,,.500,.500,,,,,,1.000,,,.500,1,,,,,0,0,jonesdw02
105,James Jones,SF,29,MIA,1,9,.000,24.1,,.000,.000,.000,.000,.000,1.000,,,,,,,.000,,,,,.000,0,,.000,,,0,0,jonesja02
106,Jason Kidd*,PG,36,DAL,6,243,.304,18.2,,.391,.152,.087,.065,.087,.609,,.278,.286,.250,.000,.500,.321,,.400,.889,,.000,0,,.179,.200,,0,0,kiddja01
107,Andrei Kirilenko,SF,28,UTA,2,30,.500,9.0,,.900,.500,.100,.000,.300,.100,,.556,.800,.000,,.333,.000,,.600,,,.200,2,,.000,,,0,0,kirilan01
108,Kyle Korver,SG,28,UTA,10,210,.525,19.1,,.623,.098,.016,.033,.475,.377,,.553,.667,1.000,.500,.517,.478,,.762,.909,,.000,0,,.391,.333,,0,0,korveky01
109,Kosta Koufos,C,20,UTA,9,31,.400,7.5,,1.000,.300,.500,.000,.200,.000,,.400,.333,.400,,.500,,,.250,,,.000,0,,,,,0,0,koufoko01
